RESUME_TABFACT 2026-07-23 08:20:40 CST
[mact-one] scitab 51/100 ok
[mact-one] scitab 52/100 ok
[mact-one] scitab 53/100 ok
[mact-one] scitab 54/100 ok
[mact-one] scitab 55/100 ok
[mact-one] scitab 56/100 ok
[mact-one] scitab 57/100 ok
[mact-one] scitab 58/100 ok
[mact-one] scitab 59/100 ok
[mact-one] scitab 60/100 ok
[mact-one] scitab 61/100 ok
[mact-one] scitab 62/100 ok
[mact-one] scitab 63/100 ok
[mact-one] scitab 64/100 ok
[mact-one] scitab 65/100 ok
[mact-one] scitab 66/100 ok
[mact-one] scitab 67/100 ok
[mact-one] scitab 68/100 ok
[mact-one] scitab 69/100 ok
[mact-one] scitab 70/100 ok
[mact-one] scitab 71/100 ok
[mact-one] scitab 72/100 ok
[mact-one] scitab 73/100 ok
[mact-one] scitab 74/100 ok
[mact-one] scitab 75/100 ok
[mact-one] scitab 76/100 ok
[mact-one] scitab 77/100 ok
[mact-one] scitab 78/100 ok
[mact-one] scitab 79/100 ok
[mact-one] scitab 80/100 ok
